mouseid_session_phase_cue_date,Condition,#rewards,#entrances,RERatio,PTimeCenter,PTimeAnnulus,MeanSpeed,SESpeed,MeanTargSpeed,SETargSpeed,Speed2TargetR,SESpeed2TargetR,MeanX,SEX,MeanY,SEY,MeanScatX,SEScatX,MeanScatY,SEScatY,MeanAccScatX,SESAcccatX,MeanAccScatY,SESAcccatY,MeanPauseX,SEPauseX,MeanPauseY,SEPauseY,MeanScatPauseX,SEScatPauseX,MeanScatPauseY,SEScatPauseY,MeanAccPauseX,SESAccPauseX,MeanSAccPauseY,SESAccPauseY,MeanPauseAngle,SEPauseAngle,%TimeQuadNE,%TimeQuadNW,%TimeQuadSW,%TimeQuadSE,%TimeT1,%TimeT2,%TimeT3,%TimeT4,%GoalTime,%TimeG1NE,%TimeG2NW,%TimeG3SW,%TimeG4SE,FractalDimension
m41S10P4c_082724,,15,20,0.75,0.021466,0.48627,5.9642,0.030389,9.8832,1.4191,16.1026,0.84823,177.9836,3.2936,74.4225,3.9104,10.2071,1.8456,10.2071,1.8456,15,15,15,15,191.8249,0.916,55.2346,0.77578,15,15,15,15,15,15,15,15,131.1729,0.50058,0.17299,0.22546,0.33891,0.26265,0.34071,0.27434,0.27434,0.14159,0.011594,0.0097605,0.024966,0.046376,0.078306,#N/A
m41s11p5c_082824,,10,13,0.77,0.0091123,0.69663,5.0825,0.027683,7.3748,1.0684,13.6693,0.73643,183.1759,3.8369,72.0965,3.7843,9.6912,2.0704,9.6912,2.0704,10,10,10,10,195.7895,0.54823,60.958,0.77191,10,10,10,10,10,10,10,10,136.3781,0.52713,0.25092,0.13561,0.22473,0.38874,0.61386,0.21782,0.11881,0.11881,0.010835,0.0068713,0.010687,0.041135,0.0065194,#N/A
m41s12p5c_090424,,14,24,0.58,0.013685,0.7012,8.2501,0.033903,9.7439,1.1625,14.0085,0.69144,186.4125,3.1411,71.8691,3.1842,8.7615,1.9905,8.7615,1.9905,14,14,14,14,199.9877,0.49537,59.4896,0.83575,14,14,14,14,14,14,14,14,137.7079,0.50965,0.22364,0.23262,0.29597,0.24777,0.64975,0.15228,0.010152,0.22335,0.019499,0.012722,0.017777,0.017425,0.029073,#N/A
m41s13p5c_090524,,10,13,0.77,0.014891,0.75291,6.7034,0.031574,9.466,1.3995,17.7752,0.55969,176.6417,4.8273,81.3763,2.7422,13.7555,1.5096,13.7555,1.5096,10,10,10,10,197.4809,0.70021,61.2874,0.67443,10,10,10,10,10,10,10,10,136.7251,0.4614,0.19977,0.24655,0.29248,0.2612,0.11881,0.21782,0.41584,0.31683,0.018225,0.013465,0.013279,0.01678,0.013502,#N/A
m41s14p5c_090624,,16,27,0.59,0.013485,0.69195,8.4953,0.036643,11.1255,1.5792,15.3538,1.0424,180.4038,3.401,79.0893,2.9613,11.7512,1.5364,11.7512,1.5364,16,16,16,16,195.0765,0.75516,77.5184,1.0807,16,16,16,16,16,16,16,16,143.8744,0.71041,0.21117,0.28814,0.28547,0.21521,0.31907,0.19455,0.25681,0.25681,0.032195,0.031769,0.021543,0.024693,0.016931,#N/A
m41s15p6c_091024,,9,19,0.47,0.029191,0.61785,6.7476,0.03206,12.1852,2.0964,15.9556,0.5738,171.7404,4.1377,84.8366,3.5482,10.2076,2.024,10.2076,2.024,9,9,9,9,178.3356,0.87276,73.4597,0.7627,9,9,9,9,9,9,9,9,132.5108,0.36163,0.14653,0.21945,0.36815,0.26587,0.13415,0.02439,0.68293,0.2439,0.026579,0.025616,0.014318,0.021708,0.024561,#N/A
m41s16p6c_091224,,13,25,0.52,0.025244,0.59246,6.7359,0.033628,12.2981,1.7057,18.134,1.4819,176.96,2.9064,75.0937,3.2481,9.0446,1.2767,9.0446,1.2767,13,13,13,13,193.2239,0.73849,65.0626,1.179,13,13,13,13,13,13,13,13,138.3853,0.60446,0.18721,0.23015,0.32986,0.25278,0.39412,0.24118,0.31765,0.088235,0.025578,0.022614,0.022429,0.021596,0.030745,#N/A
m41s17p6c_091724,,6,25,0.24,0.0091684,0.83364,7.6722,0.037548,15.0926,2.2621,16.6366,0.85724,179.3379,5.5093,78.8646,4.2999,9.4489,3.535,9.4489,3.535,6,6,6,6,186.5379,0.92953,51.3621,0.90942,6,6,6,6,6,6,6,6,127.7617,0.73956,0.23308,0.26905,0.23419,0.26368,0.21622,0.37838,0.054054,0.54054,0.011039,0.009687,0.012299,0.012317,0.0070754,#N/A
m41s18p6cm_092424,,10,22,0.45,0.0078163,0.77505,7.3541,0.037749,13.5554,1.1105,23.2912,1.3255,173.362,3.1229,75.2302,4.3725,8.3736,1.4006,8.3736,1.4006,10,10,10,10,202.4322,0.69909,55.3426,0.7966,10,10,10,10,10,10,10,10,136.208,0.43065,0.16273,0.25112,0.34151,0.24464,0.31683,0.31683,0.31683,0.11881,0.02306,0.022226,0.014725,0.016485,0.0072236,#N/A
m41s19p6c_092624,,12,40,0.3,0.025394,0.66699,7.5797,0.036177,14.224,1.8115,16.761,1.0739,179.0406,4.5199,82.3122,3.0441,13.8019,1.7641,13.8019,1.7641,12,12,12,12,196.1092,0.75793,80.2103,0.8271,12,12,12,12,12,12,12,12,145.751,0.65458,0.24879,0.31681,0.24635,0.18806,0.26207,0.096552,0.42759,0.26207,0.027024,0.018207,0.039971,0.023097,0.019041,#N/A
